DateTime,rad
2014-06-28T01:00:00Z,0
2014-06-28T02:00:00Z,0
2014-06-28T03:00:00Z,0
2014-06-28T04:00:00Z,0
2014-06-28T05:00:00Z,17
2014-06-28T06:00:00Z,304
2014-06-28T07:00:00Z,520
2014-06-28T08:00:00Z,722
2014-06-28T09:00:00Z,889
2014-06-28T10:00:00Z,1014
2014-06-28T11:00:00Z,1078
2014-06-28T12:00:00Z,1091
2014-06-28T13:00:00Z,1044
2014-06-28T14:00:00Z,934
2014-06-28T15:00:00Z,776
2014-06-28T16:00:00Z,585
2014-06-28T17:00:00Z,369
2014-06-28T18:00:00Z,163
2014-06-28T19:00:00Z,8
2014-06-28T20:00:00Z,0
2014-06-28T21:00:00Z,NA
2014-06-28T22:00:00Z,0
2014-06-28T23:00:00Z,0
2014-06-29T00:00:00Z,0
2014-06-29T01:00:00Z,NA
2014-06-29T02:00:00Z,0
2014-06-29T03:00:00Z,0
2014-06-29T04:00:00Z,0
2014-06-29T05:00:00Z,16
2014-06-29T06:00:00Z,NA
2014-06-29T07:00:00Z,513
2014-06-29T08:00:00Z,712
2014-06-29T09:00:00Z,881
2014-06-29T10:00:00Z,NA
2014-06-29T11:00:00Z,NA
2014-06-29T12:00:00Z,1086
2014-06-29T13:00:00Z,1039
2014-06-29T14:00:00Z,933
2014-06-29T15:00:00Z,779
2014-06-29T16:00:00Z,584
2014-06-29T17:00:00Z,328
2014-06-29T18:00:00Z,167
2014-06-29T19:00:00Z,10
2014-06-29T20:00:00Z,NA
2014-06-29T21:00:00Z,0
2014-06-29T22:00:00Z,0
2014-06-29T23:00:00Z,0
2014-06-30T00:00:00Z,0
2014-06-30T01:00:00Z,0
2014-06-30T02:00:00Z,0
2014-06-30T03:00:00Z,0
2014-06-30T04:00:00Z,NA
2014-06-30T05:00:00Z,17
2014-06-30T06:00:00Z,285
2014-06-30T07:00:00Z,507
2014-06-30T08:00:00Z,NA
2014-06-30T09:00:00Z,879
2014-06-30T10:00:00Z,1007
2014-06-30T11:00:00Z,1077
2014-06-30T12:00:00Z,1089
2014-06-30T13:00:00Z,1042
2014-06-30T14:00:00Z,931
2014-06-30T15:00:00Z,772
2014-06-30T16:00:00Z,580
2014-06-30T17:00:00Z,367
2014-06-30T18:00:00Z,162
2014-06-30T19:00:00Z,8
2014-06-30T20:00:00Z,0
2014-06-30T21:00:00Z,0
2014-06-30T22:00:00Z,0
2014-06-30T23:00:00Z,0
2014-07-01T00:00:00Z,0
2014-07-01T01:00:00Z,0
2014-07-01T02:00:00Z,0
2014-07-01T03:00:00Z,0
2014-07-01T04:00:00Z,0
2014-07-01T05:00:00Z,16
2014-07-01T06:00:00Z,287
2014-07-01T07:00:00Z,513
2014-07-01T08:00:00Z,713
2014-07-01T09:00:00Z,NA
2014-07-01T10:00:00Z,1011
2014-07-01T11:00:00Z,1080
2014-07-01T12:00:00Z,1088
2014-07-01T13:00:00Z,NA
2014-07-01T14:00:00Z,NA
2014-07-01T15:00:00Z,773
2014-07-01T16:00:00Z,398
2014-07-01T17:00:00Z,352
2014-07-01T18:00:00Z,53
2014-07-01T19:00:00Z,10
2014-07-01T20:00:00Z,0
2014-07-01T21:00:00Z,0
2014-07-01T22:00:00Z,0
2014-07-01T23:00:00Z,NA
2014-07-02T00:00:00Z,0
2014-07-02T01:00:00Z,0
2014-07-02T02:00:00Z,0
2014-07-02T03:00:00Z,0
2014-07-02T04:00:00Z,0
2014-07-02T05:00:00Z,14
2014-07-02T06:00:00Z,294
2014-07-02T07:00:00Z,503
2014-07-02T08:00:00Z,698
2014-07-02T09:00:00Z,865
2014-07-02T10:00:00Z,995
2014-07-02T11:00:00Z,845
2014-07-02T12:00:00Z,568
2014-07-02T13:00:00Z,1042
2014-07-02T14:00:00Z,150
2014-07-02T15:00:00Z,439
2014-07-02T16:00:00Z,NA
2014-07-02T17:00:00Z,NA
2014-07-02T18:00:00Z,145
2014-07-02T19:00:00Z,22
2014-07-02T20:00:00Z,NA
2014-07-02T21:00:00Z,0
2014-07-02T22:00:00Z,0
2014-07-02T23:00:00Z,0
2014-07-03T00:00:00Z,0
2014-07-03T01:00:00Z,0
2014-07-03T02:00:00Z,0
2014-07-03T03:00:00Z,0
2014-07-03T04:00:00Z,0
2014-07-03T05:00:00Z,39
2014-07-03T06:00:00Z,249
2014-07-03T07:00:00Z,509
2014-07-03T08:00:00Z,694
2014-07-03T09:00:00Z,NA
2014-07-03T10:00:00Z,993
2014-07-03T11:00:00Z,503
2014-07-03T12:00:00Z,1095
2014-07-03T13:00:00Z,469
2014-07-03T14:00:00Z,913
2014-07-03T15:00:00Z,382
2014-07-03T16:00:00Z,574
2014-07-03T17:00:00Z,NA
2014-07-03T18:00:00Z,59
2014-07-03T19:00:00Z,9
2014-07-03T20:00:00Z,0
2014-07-03T21:00:00Z,0
2014-07-03T22:00:00Z,0
2014-07-03T23:00:00Z,0
2014-07-04T00:00:00Z,0
2014-07-04T01:00:00Z,0
2014-07-04T02:00:00Z,NA
2014-07-04T03:00:00Z,0
2014-07-04T04:00:00Z,0
2014-07-04T05:00:00Z,26
2014-07-04T06:00:00Z,213
2014-07-04T07:00:00Z,505
2014-07-04T08:00:00Z,701
2014-07-04T09:00:00Z,872
2014-07-04T10:00:00Z,997
2014-07-04T11:00:00Z,1064
2014-07-04T12:00:00Z,1070
2014-07-04T13:00:00Z,903
2014-07-04T14:00:00Z,927
2014-07-04T15:00:00Z,772
2014-07-04T16:00:00Z,576
2014-07-04T17:00:00Z,359
2014-07-04T18:00:00Z,161
2014-07-04T19:00:00Z,9
